district,year,month,respiratory_cases,deaths
Matara,2014,5,428,4
Matara,2014,6,485,5
Matara,2014,7,542,5
Matara,2014,8,599,6
Matara,2014,9,684,6
Matara,2014,10,741,7
Matara,2014,11,798,7
Matara,2014,12,770,7
Monaragala,2014,1,603,3
Monaragala,2014,2,570,3
Monaragala,2014,3,603,3
Monaragala,2014,4,536,3
Monaragala,2014,5,503,3
Monaragala,2014,6,570,3
Monaragala,2014,7,637,3
Monaragala,2014,8,704,4
Monaragala,2014,9,805,4
Monaragala,2014,10,872,4
Monaragala,2014,11,939,5
Monaragala,2014,12,905,5
Mullaitivu,2014,1,137,0
Mullaitivu,2014,2,129,0
Mullaitivu,2014,3,137,0
Mullaitivu,2014,4,122,0
Mullaitivu,2014,5,114,0
Mullaitivu,2014,6,129,0
Mullaitivu,2014,7,144,0
Mullaitivu,2014,8,160,0
Mullaitivu,2014,9,182,0
Mullaitivu,2014,10,198,1
Mullaitivu,2014,11,213,1
Mullaitivu,2014,12,205,1
Nuwara Eliya,2014,1,480,6
Nuwara Eliya,2014,2,453,6
Nuwara Eliya,2014,3,480,6
Nuwara Eliya,2014,4,427,5
Nuwara Eliya,2014,5,400,5
Nuwara Eliya,2014,6,453,6
Nuwara Eliya,2014,7,507,6
Nuwara Eliya,2014,8,560,7
Nuwara Eliya,2014,9,640,8
Nuwara Eliya,2014,10,693,9
Nuwara Eliya,2014,11,746,10
Nuwara Eliya,2014,12,720,9
Polonnaruwa,2014,1,390,3
Polonnaruwa,2014,2,368,2
Polonnaruwa,2014,3,389,3
Polonnaruwa,2014,4,346,2
Polonnaruwa,2014,5,325,2
Polonnaruwa,2014,6,368,2
Polonnaruwa,2014,7,411,3
Polonnaruwa,2014,8,454,3
Polonnaruwa,2014,9,519,4
Polonnaruwa,2014,10,563,4
Polonnaruwa,2014,11,606,4
Polonnaruwa,2014,12,584,4
Puttalam,2014,1,457,2
Puttalam,2014,2,431,2
Puttalam,2014,3,457,2
Puttalam,2014,4,406,2
Puttalam,2014,5,380,2
Puttalam,2014,6,431,2
Puttalam,2014,7,482,3
Puttalam,2014,8,533,3
Puttalam,2014,9,609,3
Puttalam,2014,10,660,3
Puttalam,2014,11,710,4
Puttalam,2014,12,685,4
Ratnapura,2014,1,842,4
Ratnapura,2014,2,795,4
Ratnapura,2014,3,842,4
Ratnapura,2014,4,748,4
Ratnapura,2014,5,701,4
Ratnapura,2014,6,795,4
Ratnapura,2014,7,889,5
Ratnapura,2014,8,982,5
Ratnapura,2014,9,1122,6
Ratnapura,2014,10,1216,6
Ratnapura,2014,11,1309,7
Ratnapura,2014,12,1263,6
Trincomalee,2014,1,274,2
Trincomalee,2014,2,258,2
Trincomalee,2014,3,274,2
Trincomalee,2014,4,243,1
Trincomalee,2014,5,228,1
Trincomalee,2014,6,258,2
Trincomalee,2014,7,289,2
Trincomalee,2014,8,319,2
Trincomalee,2014,9,365,2
Trincomalee,2014,10,395,3
Trincomalee,2014,11,426,3
Trincomalee,2014,12,411,3
Vavuniya,2014,1,93,0
Vavuniya,2014,2,88,0
Vavuniya,2014,3,93,0
Vavuniya,2014,4,83,0
Vavuniya,2014,5,78,0
Vavuniya,2014,6,88,0
Vavuniya,2014,7,98,0
Vavuniya,2014,8,108,1
Vavuniya,2014,9,124,1
Vavuniya,2014,10,134,1
Vavuniya,2014,11,145,1
Vavuniya,2014,12,139,1
Ampara,2015,1,207,2
Ampara,2015,2,196,2
Ampara,2015,3,207,2
Ampara,2015,4,184,1
Ampara,2015,5,173,1
Ampara,2015,6,196,1
Ampara,2015,7,219,2
Ampara,2015,8,242,2
Ampara,2015,9,277,2
Ampara,2015,10,300,2
Ampara,2015,11,323,2
Ampara,2015,12,311,2
Anuradhapura,2015,1,810,8
Anuradhapura,2015,2,765,7
Anuradhapura,2015,3,810,7
Anuradhapura,2015,4,720,7
Anuradhapura,2015,5,675,6
Anuradhapura,2015,6,765,7
Anuradhapura,2015,7,855,8
Anuradhapura,2015,8,945,9
Anuradhapura,2015,9,1081,10
Anuradhapura,2015,10,1171,11
Anuradhapura,2015,11,1261,12
Anuradhapura,2015,12,1216,11
Badulla,2015,1,756,9
Badulla,2015,2,714,9
Badulla,2015,3,756,9
Badulla,2015,4,672,8
Badulla,2015,5,630,8
Badulla,2015,6,714,9
Badulla,2015,7,798,10
Badulla,2015,8,882,11
Badulla,2015,9,1008,13
Badulla,2015,10,1091,14
Badulla,2015,11,1175,15
Badulla,2015,12,1133,14
Batticaloa,2015,1,368,0
Batticaloa,2015,2,347,0
Batticaloa,2015,3,368,0
Batticaloa,2015,4,327,0
Batticaloa,2015,5,307,0
Batticaloa,2015,6,347,0
Batticaloa,2015,7,388,1
Batticaloa,2015,8,429,1
Batticaloa,2015,9,491,1
Batticaloa,2015,10,531,1
Batticaloa,2015,11,572,1
Batticaloa,2015,12,552,1
Colombo,2015,1,1038,17
Colombo,2015,2,980,16
Colombo,2015,3,1038,16
Colombo,2015,4,923,15
Colombo,2015,5,865,14
Colombo,2015,6,980,16
Colombo,2015,7,1096,17
Colombo,2015,8,1211,19
Colombo,2015,9,1384,22
Colombo,2015,10,1499,24
Colombo,2015,11,1614,26
Colombo,2015,12,1557,25
Galle,2015,1,961,12
Galle,2015,2,907,11
Galle,2015,3,961,12
Galle,2015,4,854,11
Galle,2015,5,800,10
Galle,2015,6,907,11
Galle,2015,7,1014,13
Galle,2015,8,1121,14
Galle,2015,9,1281,16
Galle,2015,10,1388,17
Galle,2015,11,1494,18
Galle,2015,12,1441,18
Gampaha,2015,1,1718,12
Gampaha,2015,2,1622,12
Gampaha,2015,3,1718,12
Gampaha,2015,4,1527,11
Gampaha,2015,5,1432,10
Gampaha,2015,6,1622,12
Gampaha,2015,7,1813,13
Gampaha,2015,8,2004,15
Gampaha,2015,9,2291,17
Gampaha,2015,10,2481,18
Gampaha,2015,11,2672,19
Gampaha,2015,12,2577,19
Hambantota,2015,1,981,5
Hambantota,2015,2,927,5
Hambantota,2015,3,981,5
Hambantota,2015,4,872,5
Hambantota,2015,5,818,4
Hambantota,2015,6,927,5
Hambantota,2015,7,1035,5
Hambantota,2015,8,1144,6
Hambantota,2015,9,1308,7
Hambantota,2015,10,1417,8
Hambantota,2015,11,1526,8
Hambantota,2015,12,1471,8
Jaffna,2015,1,660,5
Jaffna,2015,2,623,5
Jaffna,2015,3,660,5
Jaffna,2015,4,586,5
Jaffna,2015,5,550,4
Jaffna,2015,6,623,5
Jaffna,2015,7,696,5
Jaffna,2015,8,770,6
Jaffna,2015,9,880,7
Jaffna,2015,10,953,8
Jaffna,2015,11,1026,8
Jaffna,2015,12,990,8
Kalmunai,2015,1,585,1
Kalmunai,2015,2,553,1
Kalmunai,2015,3,585,1
Kalmunai,2015,4,520,1
Kalmunai,2015,5,487,1
Kalmunai,2015,6,553,1
Kalmunai,2015,7,618,2
Kalmunai,2015,8,683,2
Kalmunai,2015,9,780,2
Kalmunai,2015,10,845,2
Kalmunai,2015,11,910,2
Kalmunai,2015,12,878,2
Kalutara,2015,1,868,6
Kalutara,2015,2,820,6
Kalutara,2015,3,868,6
Kalutara,2015,4,772,5
Kalutara,2015,5,724,5
Kalutara,2015,6,820,6
Kalutara,2015,7,917,6
Kalutara,2015,8,1013,7
Kalutara,2015,9,1158,8
Kalutara,2015,10,1254,8
Kalutara,2015,11,1351,9
Kalutara,2015,12,1303,9
Kandy,2015,1,1223,15
Kandy,2015,2,1155,14
Kandy,2015,3,1223,15
Kandy,2015,4,1087,13
Kandy,2015,5,1020,13
Kandy,2015,6,1155,14
Kandy,2015,7,1291,16
Kandy,2015,8,1427,18
Kandy,2015,9,1631,20
Kandy,2015,10,1767,22
Kandy,2015,11,1903,24
Kandy,2015,12,1835,23
Kegalle,2015,1,625,6
Kegalle,2015,2,590,6
Kegalle,2015,3,625,6
Kegalle,2015,4,556,6
Kegalle,2015,5,521,5
Kegalle,2015,6,590,6
Kegalle,2015,7,660,7
Kegalle,2015,8,729,7
Kegalle,2015,9,833,8
Kegalle,2015,10,903,9
Kegalle,2015,11,972,10
Kegalle,2015,12,937,9
Kilinochchi,2015,1,113,1
Kilinochchi,2015,2,107,0
Kilinochchi,2015,3,113,0
Kilinochchi,2015,4,101,0
Kilinochchi,2015,5,94,0
Kilinochchi,2015,6,107,0
Kilinochchi,2015,7,119,1
Kilinochchi,2015,8,132,1
Kilinochchi,2015,9,151,1
Kilinochchi,2015,10,164,1
Kilinochchi,2015,11,176,1
Kilinochchi,2015,12,170,1
Kurunegala,2015,1,1376,13
Kurunegala,2015,2,1300,12
Kurunegala,2015,3,1376,13
Kurunegala,2015,4,1224,11
Kurunegala,2015,5,1147,11
Kurunegala,2015,6,1300,12
Kurunegala,2015,7,1453,14
Kurunegala,2015,8,1606,15
Kurunegala,2015,9,1835,17
Kurunegala,2015,10,1988,18
Kurunegala,2015,11,2141,20
Kurunegala,2015,12,2065,19
Mannar,2015,1,66,0
Mannar,2015,2,62,0
Mannar,2015,3,66,0
Mannar,2015,4,59,0
Mannar,2015,5,55,0
Mannar,2015,6,62,0
Mannar,2015,7,70,0
Mannar,2015,8,77,0
Mannar,2015,9,88,1
Mannar,2015,10,96,1
Mannar,2015,11,103,1
Mannar,2015,12,99,1
Matale,2015,1,474,5
Matale,2015,2,447,5
Matale,2015,3,473,5
Matale,2015,4,421,5
Matale,2015,5,395,5
Matale,2015,6,447,5
Matale,2015,7,500,6
Matale,2015,8,552,6
Matale,2015,9,631,7
Matale,2015,10,684,8
Matale,2015,11,737,8
Matale,2015,12,710,8
Matara,2015,1,534,4
Matara,2015,2,505,4
Matara,2015,3,534,4
Matara,2015,4,475,4
Matara,2015,5,445,3
Matara,2015,6,505,4
Matara,2015,7,564,4
Matara,2015,8,623,5
Matara,2015,9,712,6
Matara,2015,10,772,6
Matara,2015,11,831,6
Matara,2015,12,802,6
Monaragala,2015,1,738,4
Monaragala,2015,2,697,4
Monaragala,2015,3,738,4
Monaragala,2015,4,656,4
Monaragala,2015,5,615,3
Monaragala,2015,6,697,4
Monaragala,2015,7,780,4
Monaragala,2015,8,862,5
Monaragala,2015,9,985,6
Monaragala,2015,10,1067,6
Monaragala,2015,11,1149,6
Monaragala,2015,12,1108,6
Mullaitivu,2015,1,126,0
Mullaitivu,2015,2,119,0
Mullaitivu,2015,3,126,0
Mullaitivu,2015,4,112,0
Mullaitivu,2015,5,105,0
Mullaitivu,2015,6,119,0
Mullaitivu,2015,7,133,0
Mullaitivu,2015,8,147,0
Mullaitivu,2015,9,169,1
Mullaitivu,2015,10,183,1
Mullaitivu,2015,11,197,1
Mullaitivu,2015,12,190,1
Nuwara Eliya,2015,1,574,7
Nuwara Eliya,2015,2,543,6
Nuwara Eliya,2015,3,574,7
Nuwara Eliya,2015,4,511,6
Nuwara Eliya,2015,5,479,5
Nuwara Eliya,2015,6,543,6
Nuwara Eliya,2015,7,606,7
Nuwara Eliya,2015,8,670,8
Nuwara Eliya,2015,9,766,9
Nuwara Eliya,2015,10,830,9
Nuwara Eliya,2015,11,894,10
Nuwara Eliya,2015,12,862,10
Polonnaruwa,2015,1,363,4
Polonnaruwa,2015,2,343,3
Polonnaruwa,2015,3,363,4
Polonnaruwa,2015,4,323,3
Polonnaruwa,2015,5,302,3
Polonnaruwa,2015,6,343,3
Polonnaruwa,2015,7,383,4
Polonnaruwa,2015,8,423,4
Polonnaruwa,2015,9,484,5
Polonnaruwa,2015,10,524,5
Polonnaruwa,2015,11,565,6
Polonnaruwa,2015,12,544,5
Puttalam,2015,1,361,3
Puttalam,2015,2,341,2
Puttalam,2015,3,361,2
Puttalam,2015,4,320,2
Puttalam,2015,5,300,2
Puttalam,2015,6,341,2
Puttalam,2015,7,381,3
Puttalam,2015,8,421,3
Puttalam,2015,9,481,3
Puttalam,2015,10,521,4
Puttalam,2015,11,561,4
Puttalam,2015,12,541,4
Ratnapura,2015,1,902,7
Ratnapura,2015,2,852,7
Ratnapura,2015,3,902,7
Ratnapura,2015,4,802,6
Ratnapura,2015,5,752,6
Ratnapura,2015,6,852,6
Ratnapura,2015,7,952,7
Ratnapura,2015,8,1052,8
Ratnapura,2015,9,1203,9
Ratnapura,2015,10,1303,10
Ratnapura,2015,11,1403,11
Ratnapura,2015,12,1353,10
Trincomalee,2015,1,323,2
Trincomalee,2015,2,305,2
Trincomalee,2015,3,323,2
Trincomalee,2015,4,287,2
Trincomalee,2015,5,269,2
Trincomalee,2015,6,305,2
Trincomalee,2015,7,341,2
Trincomalee,2015,8,376,3
Trincomalee,2015,9,430,3
Trincomalee,2015,10,466,3
Trincomalee,2015,11,502,4
Trincomalee,2015,12,484,3
Vavuniya,2015,1,134,1
Vavuniya,2015,2,127,1
Vavuniya,2015,3,134,1
Vavuniya,2015,4,119,1
Vavuniya,2015,5,112,1
Vavuniya,2015,6,127,1
Vavuniya,2015,7,141,1
Vavuniya,2015,8,156,1
Vavuniya,2015,9,179,1
Vavuniya,2015,10,194,2
Vavuniya,2015,11,208,2
Vavuniya,2015,12,201,2
Ampara,2016,1,198,1
Ampara,2016,2,187,1
Ampara,2016,3,198,1
Ampara,2016,4,176,1
Ampara,2016,5,165,1
Ampara,2016,6,187,1
Ampara,2016,7,210,1
Ampara,2016,8,232,2
Ampara,2016,9,265,2
Ampara,2016,10,287,2
Ampara,2016,11,309,2
Ampara,2016,12,298,2
Anuradhapura,2016,1,581,5
Anuradhapura,2016,2,549,4
Anuradhapura,2016,3,581,5
Anuradhapura,2016,4,516,4
Anuradhapura,2016,5,484,4
Anuradhapura,2016,6,549,4
Anuradhapura,2016,7,613,5
Anuradhapura,2016,8,678,5
Anuradhapura,2016,9,774,6
Anuradhapura,2016,10,839,7
Anuradhapura,2016,11,904,7
Anuradhapura,2016,12,871,7
Badulla,2016,1,724,10
Badulla,2016,2,683,9
Badulla,2016,3,724,10
Badulla,2016,4,643,9
Badulla,2016,5,603,8
Badulla,2016,6,683,9
Badulla,2016,7,764,11
Badulla,2016,8,844,12
Badulla,2016,9,965,13
Badulla,2016,10,1045,14
Badulla,2016,11,1125,16
Badulla,2016,12,1085,15
Batticaloa,2016,1,402,0
Batticaloa,2016,2,380,0
Batticaloa,2016,3,402,0
Batticaloa,2016,4,357,0
Batticaloa,2016,5,335,0
Batticaloa,2016,6,380,0
Batticaloa,2016,7,424,0
Batticaloa,2016,8,469,0
Batticaloa,2016,9,536,1
Batticaloa,2016,10,581,1
Batticaloa,2016,11,626,1
Batticaloa,2016,12,603,1
Colombo,2016,1,1053,15
Colombo,2016,2,995,14
Colombo,2016,3,1053,15
Colombo,2016,4,936,13
Colombo,2016,5,878,12
Colombo,2016,6,995,14
Colombo,2016,7,1112,15
Colombo,2016,8,1229,17
Colombo,2016,9,1405,20
Colombo,2016,10,1522,21
Colombo,2016,11,1639,23
Colombo,2016,12,1580,22
Galle,2016,1,828,6
Galle,2016,2,782,6
Galle,2016,3,828,6
Galle,2016,4,736,5
Galle,2016,5,690,5
Galle,2016,6,782,6
Galle,2016,7,874,6
Galle,2016,8,966,7
Galle,2016,9,1105,8
Galle,2016,10,1197,8
Galle,2016,11,1289,9
Galle,2016,12,1243,9
Gampaha,2016,1,1493,8
Gampaha,2016,2,1410,8
Gampaha,2016,3,1493,8
Gampaha,2016,4,1327,7
Gampaha,2016,5,1244,7
Gampaha,2016,6,1410,8
Gampaha,2016,7,1576,8
Gampaha,2016,8,1742,9
Gampaha,2016,9,1990,11
Gampaha,2016,10,2156,12
Gampaha,2016,11,2322,13
Gampaha,2016,12,2239,12
Hambantota,2016,1,825,3
Hambantota,2016,2,780,3
Hambantota,2016,3,825,3
Hambantota,2016,4,734,3
Hambantota,2016,5,688,3
Hambantota,2016,6,780,3
Hambantota,2016,7,871,3
Hambantota,2016,8,963,4
Hambantota,2016,9,1100,4
Hambantota,2016,10,1192,5
Hambantota,2016,11,1284,5
Hambantota,2016,12,1238,5
Jaffna,2016,1,599,3
Jaffna,2016,2,566,2
Jaffna,2016,3,599,3
Jaffna,2016,4,533,2
Jaffna,2016,5,500,2
Jaffna,2016,6,566,2
Jaffna,2016,7,633,3
Jaffna,2016,8,699,3
Jaffna,2016,9,799,3
Jaffna,2016,10,866,4
Jaffna,2016,11,932,4
Jaffna,2016,12,899,4
Kalmunai,2016,1,387,1
Kalmunai,2016,2,366,1
Kalmunai,2016,3,387,1
Kalmunai,2016,4,344,1
Kalmunai,2016,5,323,1
Kalmunai,2016,6,366,1
Kalmunai,2016,7,409,1
Kalmunai,2016,8,452,1
Kalmunai,2016,9,517,1
Kalmunai,2016,10,560,2
Kalmunai,2016,11,603,2
Kalmunai,2016,12,581,2
Kalutara,2016,1,783,4
Kalutara,2016,2,739,4
Kalutara,2016,3,783,4
Kalutara,2016,4,696,4
Kalutara,2016,5,652,3
Kalutara,2016,6,739,4
Kalutara,2016,7,826,4
Kalutara,2016,8,913,5
Kalutara,2016,9,1044,5
Kalutara,2016,10,1130,6
Kalutara,2016,11,1217,6
Kalutara,2016,12,1174,6
Kandy,2016,1,1122,14
Kandy,2016,2,1060,13
Kandy,2016,3,1122,14
Kandy,2016,4,998,12
Kandy,2016,5,935,11
Kandy,2016,6,1060,13
Kandy,2016,7,1185,15
Kandy,2016,8,1310,16
Kandy,2016,9,1497,18
Kandy,2016,10,1621,20
Kandy,2016,11,1746,21
Kandy,2016,12,1684,21
Kegalle,2016,1,586,5
Kegalle,2016,2,554,5
Kegalle,2016,3,586,5
Kegalle,2016,4,521,5
Kegalle,2016,5,488,5
Kegalle,2016,6,554,5
Kegalle,2016,7,619,6
Kegalle,2016,8,684,6
Kegalle,2016,9,781,7
Kegalle,2016,10,847,8
Kegalle,2016,11,912,8
Kegalle,2016,12,879,8
Kilinochchi,2016,1,131,1
Kilinochchi,2016,2,124,1
Kilinochchi,2016,3,131,1
Kilinochchi,2016,4,117,0
Kilinochchi,2016,5,109,0
Kilinochchi,2016,6,124,0
Kilinochchi,2016,7,138,1
Kilinochchi,2016,8,153,1
Kilinochchi,2016,9,175,1
Kilinochchi,2016,10,190,1
Kilinochchi,2016,11,204,1
Kilinochchi,2016,12,197,1
Kurunegala,2016,1,1175,8
Kurunegala,2016,2,1110,8
Kurunegala,2016,3,1175,8
Kurunegala,2016,4,1044,7
Kurunegala,2016,5,979,7
Kurunegala,2016,6,1110,7
Kurunegala,2016,7,1240,8
Kurunegala,2016,8,1371,9
Kurunegala,2016,9,1566,11
Kurunegala,2016,10,1697,11
Kurunegala,2016,11,1828,12
Kurunegala,2016,12,1762,12
Mannar,2016,1,60,0
Mannar,2016,2,56,0
Mannar,2016,3,60,0
Mannar,2016,4,53,0
Mannar,2016,5,50,0
Mannar,2016,6,56,0
Mannar,2016,7,63,0
Mannar,2016,8,70,0
Mannar,2016,9,80,0
Mannar,2016,10,86,0
Mannar,2016,11,93,1
Mannar,2016,12,89,0
Matale,2016,1,412,4
Matale,2016,2,389,4
Matale,2016,3,412,4
Matale,2016,4,366,4
Matale,2016,5,343,3
Matale,2016,6,389,4
Matale,2016,7,435,4
Matale,2016,8,480,5
Matale,2016,9,549,6
Matale,2016,10,595,6
Matale,2016,11,640,7
Matale,2016,12,617,6
Matara,2016,1,416,2
Matara,2016,2,393,2
Matara,2016,3,416,2
Matara,2016,4,369,2
Matara,2016,5,346,2
Matara,2016,6,393,2
Matara,2016,7,439,2
Matara,2016,8,485,3
Matara,2016,9,554,3
Matara,2016,10,601,3
Matara,2016,11,647,4
Matara,2016,12,624,3
Monaragala,2016,1,506,4
Monaragala,2016,2,478,4
Monaragala,2016,3,506,4
Monaragala,2016,4,449,3
Monaragala,2016,5,421,3
Monaragala,2016,6,477,4
Monaragala,2016,7,534,4
Monaragala,2016,8,590,4
Monaragala,2016,9,674,5
Monaragala,2016,10,730,6
Monaragala,2016,11,786,6
Monaragala,2016,12,758,6
Mullaitivu,2016,1,89,0
Mullaitivu,2016,2,84,0
Mullaitivu,2016,3,89,0
Mullaitivu,2016,4,79,0
Mullaitivu,2016,5,74,0
Mullaitivu,2016,6,84,0
Mullaitivu,2016,7,94,0
Mullaitivu,2016,8,104,0
Mullaitivu,2016,9,118,0
Mullaitivu,2016,10,128,0
Mullaitivu,2016,11,138,1
Mullaitivu,2016,12,133,1
Nuwara Eliya,2016,1,465,5
Nuwara Eliya,2016,2,439,4
Nuwara Eliya,2016,3,464,4
Nuwara Eliya,2016,4,413,4
Nuwara Eliya,2016,5,387,4
Nuwara Eliya,2016,6,439,4
Nuwara Eliya,2016,7,490,5
Nuwara Eliya,2016,8,542,5
Nuwara Eliya,2016,9,619,6
Nuwara Eliya,2016,10,671,6
Nuwara Eliya,2016,11,723,7
Nuwara Eliya,2016,12,697,7
Polonnaruwa,2016,1,294,3
Polonnaruwa,2016,2,278,3
Polonnaruwa,2016,3,294,3
Polonnaruwa,2016,4,261,3
Polonnaruwa,2016,5,245,2
Polonnaruwa,2016,6,278,3
Polonnaruwa,2016,7,310,3
Polonnaruwa,2016,8,343,3
Polonnaruwa,2016,9,392,4
Polonnaruwa,2016,10,425,4
Polonnaruwa,2016,11,457,4
Polonnaruwa,2016,12,441,4
Puttalam,2016,1,316,2
Puttalam,2016,2,298,1
Puttalam,2016,3,316,1
Puttalam,2016,4,281,1
Puttalam,2016,5,263,1
Puttalam,2016,6,298,1
Puttalam,2016,7,333,2
Puttalam,2016,8,369,2
Puttalam,2016,9,421,2
Puttalam,2016,10,456,2
Puttalam,2016,11,491,2
Puttalam,2016,12,474,2
